name,distance,population,county,count
HAMILTON,24.50378783,7561,ESSEX,1
HAVERHILL,32.32800598,67787,ESSEX,9
WILLIAMSTOWN,111.8745622,7513,BERKSHIRE,1
GLOUCESTER,29.51485577,29729,ESSEX,4
SHIRLEY,33.48705061,7431,MIDDLESEX,1
WELLESLEY,10.02774571,29550,NORFOLK,4
PITTSFIELD,111.1761103,43927,BERKSHIRE,6
QUINCY,5.753494829,101636,NORFOLK,14
FRAMINGHAM,17.73308752,72362,MIDDLESEX,10
EAST BRIDGEWATER,20.82284591,14440,PLYMOUTH,2
WEST SPRINGFIELD,80.92184804,28835,HAMPDEN,4
GREAT BARRINGTON,115.3657547,7172,BERKSHIRE,1
BEVERLY,20.97571993,42670,ESSEX,6
SPRINGFIELD,75.46557478,155929,HAMPDEN,22
UXBRIDGE,33.20114426,14162,WORCESTER,2
WATERTOWN,5.823904507,35329,MIDDLESEX,5
BILLERICA,19.05272247,42119,MIDDLESEX,6
CHICOPEE,76.41297638,55560,HAMPDEN,8
MILLBURY,36.01983545,13831,WORCESTER,2
LEXINGTON,11.4854549,34454,MIDDLESEX,5
PEABODY,16.17730255,54481,ESSEX,8
MERRIMAC,36.32971258,6723,ESSEX,1
HUDSON,23.85182605,20092,MIDDLESEX,3
CHARLTON,46.63875191,13315,WORCESTER,2
ATTLEBORO,28.59466851,46461,BRISTOL,7
MEDFORD,7.521547912,59659,MIDDLESEX,9
CHATHAM,72.45653515,6594,BARNSTABLE,1
TOPSFIELD,23.43134986,6569,ESSEX,1
MEDWAY,20.66712973,13115,NORFOLK,2
DRACUT,27.56102534,32617,MIDDLESEX,5
WALTHAM,9.273687565,65218,MIDDLESEX,10
MATTAPOISETT,46.82264574,6508,PLYMOUTH,1
LYNNFIELD,15.40246563,13000,ESSEX,2
NORTON,24.7958096,19202,BRISTOL,3
MEDFIELD,14.25676856,12799,NORFOLK,2
WEYMOUTH,11.0977969,57437,NORFOLK,9
NEW BEDFORD,45.17216144,101079,BRISTOL,16
ASHBURNHAM,48.71614605,6315,WORCESTER,1
ORLEANS,68.55203425,6307,BARNSTABLE,1
ASHLAND,19.78396556,18832,MIDDLESEX,3
YARMOUTH,62.5744724,25023,BARNSTABLE,4
LEOMINSTER,37.54961564,43782,WORCESTER,7
REHOBOTH,33.58150227,12502,BRISTOL,2
MENDON,28.20663454,6228,WORCESTER,1
SOUTHAMPTON,84.49695227,6224,HAMPSHIRE,1
TYNGSBOROUGH,29.73119616,12380,MIDDLESEX,2
NATICK,13.4550059,37006,MIDDLESEX,6
ROWLEY,29.69794845,6161,ESSEX,1
WESTFORD,25.84322162,24643,MIDDLESEX,4
EVERETT,6.573575112,49075,MIDDLESEX,8
GRANBY,72.36342986,6110,HAMPSHIRE,1
MILFORD,24.55441755,30379,WORCESTER,5
MIDDLEBOROUGH,32.06554106,24245,PLYMOUTH,4
HOPEDALE,26.33391614,6017,WORCESTER,1
ACTON,21.22284011,24021,MIDDLESEX,4
SPENCER,46.35670098,11992,WORCESTER,2
FITCHBURG,41.60015485,41946,WORCESTER,7
MANSFIELD,21.73626835,23860,BRISTOL,4
DUDLEY,46.88585112,11921,WORCESTER,2
ROCKLAND,15.83400487,17803,PLYMOUTH,3
WEBSTER,42.90937584,17776,WORCESTER,3
DOVER,11.35029712,5923,NORFOLK,1
GREENFIELD,79.60819415,17768,FRANKLIN,3
SOUTHBRIDGE,51.44947215,17740,WORCESTER,3
METHUEN,29.31682851,53059,ESSEX,9
